Border,Date,Measure,Sum,Avg
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,3881
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8174,166
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,1367
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,50107
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,26756
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,2676
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,6954
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,30038,1251
US-Canada Border,05/01/2019 12:00:00 AM,Trains,2090,90
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,1759
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,5280
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,6589
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,120438,2867
US-Canada Border,04/01/2019 12:00:00 AM,Buses,5050,117
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,31204,1040
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,3760645,45308
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,2053135,24442
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,60767,2531
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,157840,6862
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,13103,545
US-Canada Border,04/01/2019 12:00:00 AM,Trains,1968,85
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,122028,1627
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,369321,5352
US-Canada Border,04/01/2019 12:00:00 AM,Trucks,480477,6406
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,89326,2077
US-Canada Border,03/01/2019 12:00:00 AM,Buses,4419,102
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,18500,560
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3765337,45365
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1993520,23732
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,64969,2824
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,160144,6962
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,13314,578
US-Canada Border,03/01/2019 12:00:00 AM,Trains,1945,84
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,132252,1740
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366698,5093
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,488046,6421
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75740,1721
US-Canada Border,02/01/2019 12:00:00 AM,Buses,3770,85
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,12009,414
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2777212,34286
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534560,18714
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,44492,1934
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123643,5375
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,9277,403
US-Canada Border,02/01/2019 12:00:00 AM,Trains,1607,69
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115624,1521
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323630,4433
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,429813,5655
US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,74112,1900
US-Canada Border,01/01/2019 12:00:00 AM,Buses,3903,100
US-Canada Border,01/01/2019 12:00:00 AM,Pedestrians,14412,514
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,2928980,35719
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,1645776,19828
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Empty,57862,2515
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Full,155660,6767
US-Canada Border,01/01/2019 12:00:00 AM,Train Passengers,12902,560
US-Canada Border,01/01/2019 12:00:00 AM,Trains,2033,88
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,124042,1632
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Full,354429,4991
US-Canada Border,01/01/2019 12:00:00 AM,Trucks,467770,6154
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,2315
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,107
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,739
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,47293
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,24157
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,2534
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,7587
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,583
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,95
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,1818
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,4079
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,5473
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,105606,2514
US-Canada Border,11/01/2018 12:00:00 AM,Buses,4777,113
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,21290,665
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3523204,42448
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1933646,23019
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,59112,2570
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163324,7101
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,11720,509
US-Canada Border,11/01/2018 12:00:00 AM,Trains,1979,89
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,127697,1702
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358925,5055
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476793,6273
US-Canada Border,10/01/2018 12:00:00 AM,Bus Passengers,158773,3378
US-Canada Border,10/01/2018 12:00:00 AM,Buses,6359,138
US-Canada Border,10/01/2018 12:00:00 AM,Pedestrians,51076,1702
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,4042146,47554
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicles,2240151,26048
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Empty,63252,2875
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Full,167849,7629
US-Canada Border,10/01/2018 12:00:00 AM,Train Passengers,16617,722
US-Canada Border,10/01/2018 12:00:00 AM,Trains,2059,93
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Empty,139572,1860
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Full,398340,5382
US-Canada Border,10/01/2018 12:00:00 AM,Trucks,527247,6759
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,179957,3828
US-Canada Border,09/01/2018 12:00:00 AM,Buses,7896,161
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,54019,1800
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,4376264,51485
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2339723,26893
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,63582,2890
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,154683,7031
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,29355,1276
US-Canada Border,09/01/2018 12:00:00 AM,Trains,1970,85
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,126940,1692
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,360290,5004
US-Canada Border,09/01/2018 12:00:00 AM,Trucks,477492,6201
US-Canada Border,08/01/2018 12:00:00 AM,Bus Passengers,239821,5102
US-Canada Border,08/01/2018 12:00:00 AM,Buses,9222,196
US-Canada Border,08/01/2018 12:00:00 AM,Pedestrians,83530,2320
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,6367333,74909
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicles,2999558,34477
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Empty,60159,2734
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Full,148925,6769
US-Canada Border,08/01/2018 12:00:00 AM,Train Passengers,55602,2417
US-Canada Border,08/01/2018 12:00:00 AM,Trains,2099,91
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Empty,141581,1887
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Full,377595,5102
US-Canada Border,08/01/2018 12:00:00 AM,Trucks,508622,6605
US-Canada Border,07/01/2018 12:00:00 AM,Bus Passengers,223674,4970
US-Canada Border,07/01/2018 12:00:00 AM,Buses,9385,204
US-Canada Border,07/01/2018 12:00:00 AM,Pedestrians,80348,2295
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,6118700,71984
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicles,2902555,33362
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Empty,60140,2733
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Full,144717,6578
US-Canada Border,07/01/2018 12:00:00 AM,Train Passengers,48139,2093
US-Canada Border,07/01/2018 12:00:00 AM,Trains,1985,86
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Empty,129790,1753
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Full,362798,4969
US-Canada Border,07/01/2018 12:00:00 AM,Trucks,482545,6433
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,211997,3925
US-Canada Border,06/01/2018 12:00:00 AM,Buses,9287,171
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,62091,1826
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,4905379,57710
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2561045,29437
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,64970,2953
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,147832,6719
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,43571,1894
US-Canada Border,06/01/2018 12:00:00 AM,Trains,1981,86
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,144777,1904
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,364267,4922
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,498422,6558
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,197790,4208
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8291,180
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,44519,1271
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,4365709,51972
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2378868,27661
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,70644,3071
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,152582,6634
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,26599,1108
US-Canada Border,05/01/2018 12:00:00 AM,Trains,2094,87
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,142900,1905
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,393302,5244
US-Canada Border,05/01/2018 12:00:00 AM,Trucks,524191,6720
US-Canada Border,04/01/2018 12:00:00 AM,Bus Passengers,116462,2911
US-Canada Border,04/01/2018 12:00:00 AM,Buses,5153,132
US-Canada Border,04/01/2018 12:00:00 AM,Pedestrians,22471,702
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,3672087,44781
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicles,2013265,24256
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Empty,69628,3027
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Full,145538,6327
US-Canada Border,04/01/2018 12:00:00 AM,Train Passengers,12620,548
US-Canada Border,04/01/2018 12:00:00 AM,Trains,1969,85
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Empty,137434,1808
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Full,375045,5282
US-Canada Border,04/01/2018 12:00:00 AM,Trucks,501741,6601
US-Canada Border,03/01/2018 12:00:00 AM,Bus Passengers,108766,2939
US-Canada Border,03/01/2018 12:00:00 AM,Buses,4862,131
US-Canada Border,03/01/2018 12:00:00 AM,Pedestrians,20736,740
US-Canada Border,03/01/2018 12:00:00 AM,Personal Vehicle Passengers,4060908,50134
US-Canada Border,03/01/2018 12:00:00 AM,Personal Vehicles,2114557,25787
US-Canada Border,03/01/2018 12:00:00 AM,Rail Containers Empty,69369,3016
US-Canada Border,03/01/2018 12:00:00 AM,Rail Containers Full,156833,6818
US-Canada Border,03/01/2018 12:00:00 AM,Train Passengers,12891,560
US-Canada Border,03/01/2018 12:00:00 AM,Trains,1996,86
US-Canada Border,03/01/2018 12:00:00 AM,Truck Containers Empty,145042,1908
US-Canada Border,03/01/2018 12:00:00 AM,Truck Containers Full,365815,5011
US-Canada Border,03/01/2018 12:00:00 AM,Trucks,500026,6410
US-Canada Border,02/01/2018 12:00:00 AM,Bus Passengers,85214,2130
US-Canada Border,02/01/2018 12:00:00 AM,Buses,4294,107
US-Canada Border,02/01/2018 12:00:00 AM,Pedestrians,12936,462
US-Canada Border,02/01/2018 12:00:00 AM,Personal Vehicle Passengers,3022028,37308
US-Canada Border,02/01/2018 12:00:00 AM,Personal Vehicles,1666594,20324
US-Canada Border,02/01/2018 12:00:00 AM,Rail Containers Empty,57667,2507
US-Canada Border,02/01/2018 12:00:00 AM,Rail Containers Full,136507,5935
US-Canada Border,02/01/2018 12:00:00 AM,Train Passengers,8544,371
US-Canada Border,02/01/2018 12:00:00 AM,Trains,1712,74
US-Canada Border,02/01/2018 12:00:00 AM,Truck Containers Empty,131612,1754
US-Canada Border,02/01/2018 12:00:00 AM,Truck Containers Full,326173,4468
US-Canada Border,02/01/2018 12:00:00 AM,Trucks,448194,5746
US-Canada Border,01/01/2018 12:00:00 AM,Bus Passengers,77412,1984
US-Canada Border,01/01/2018 12:00:00 AM,Buses,4256,109
US-Canada Border,01/01/2018 12:00:00 AM,Pedestrians,12571,448
US-Canada Border,01/01/2018 12:00:00 AM,Personal Vehicle Passengers,3129055,38159
US-Canada Border,01/01/2018 12:00:00 AM,Personal Vehicles,1749770,21081
US-Canada Border,01/01/2018 12:00:00 AM,Rail Containers Empty,58613,2548
US-Canada Border,01/01/2018 12:00:00 AM,Rail Containers Full,147156,6398
US-Canada Border,01/01/2018 12:00:00 AM,Train Passengers,10821,470
US-Canada Border,01/01/2018 12:00:00 AM,Trains,1890,82
US-Canada Border,01/01/2018 12:00:00 AM,Truck Containers Empty,134554,1818
US-Canada Border,01/01/2018 12:00:00 AM,Truck Containers Full,350657,5009
US-Canada Border,01/01/2018 12:00:00 AM,Trucks,475119,6170
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,2597
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,110
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,535
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,47206
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,24210
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,2542
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,6275
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,578
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,74
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,1621
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,4342
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,5470
US-Canada Border,11/01/2017 12:00:00 AM,Bus Passengers,106550,2421
US-Canada Border,11/01/2017 12:00:00 AM,Buses,4930,112
US-Canada Border,11/01/2017 12:00:00 AM,Pedestrians,20077,590
US-Canada Border,11/01/2017 12:00:00 AM,Personal Vehicle Passengers,3630353,43739
US-Canada Border,11/01/2017 12:00:00 AM,Personal Vehicles,2002198,23835
US-Canada Border,11/01/2017 12:00:00 AM,Rail Containers Empty,64178,2790
US-Canada Border,11/01/2017 12:00:00 AM,Rail Containers Full,147252,6402
US-Canada Border,11/01/2017 12:00:00 AM,Train Passengers,13675,594
US-Canada Border,11/01/2017 12:00:00 AM,Trains,1872,78
US-Canada Border,11/01/2017 12:00:00 AM,Truck Containers Empty,135585,1832
US-Canada Border,11/01/2017 12:00:00 AM,Truck Containers Full,367342,5101
US-Canada Border,11/01/2017 12:00:00 AM,Trucks,493062,6487
US-Canada Border,10/01/2017 12:00:00 AM,Bus Passengers,169178,3677
US-Canada Border,10/01/2017 12:00:00 AM,Buses,6614,143
US-Canada Border,10/01/2017 12:00:00 AM,Pedestrians,57404,1739
US-Canada Border,10/01/2017 12:00:00 AM,Personal Vehicle Passengers,4105894,48879
US-Canada Border,10/01/2017 12:00:00 AM,Personal Vehicles,2243138,26389
US-Canada Border,10/01/2017 12:00:00 AM,Rail Containers Empty,68192,2964
US-Canada Border,10/01/2017 12:00:00 AM,Rail Containers Full,153148,6658
US-Canada Border,10/01/2017 12:00:00 AM,Train Passengers,16240,738
US-Canada Border,10/01/2017 12:00:00 AM,Trains,1934,80
US-Canada Border,10/01/2017 12:00:00 AM,Truck Containers Empty,131890,1782
US-Canada Border,10/01/2017 12:00:00 AM,Truck Containers Full,384348,5338
US-Canada Border,10/01/2017 12:00:00 AM,Trucks,505480,6651
US-Canada Border,09/01/2017 12:00:00 AM,Bus Passengers,195397,4247
US-Canada Border,09/01/2017 12:00:00 AM,Buses,8634,187
US-Canada Border,09/01/2017 12:00:00 AM,Pedestrians,49540,1303
US-Canada Border,09/01/2017 12:00:00 AM,Personal Vehicle Passengers,4569811,54402
US-Canada Border,09/01/2017 12:00:00 AM,Personal Vehicles,2425684,28537
US-Canada Border,09/01/2017 12:00:00 AM,Rail Containers Empty,65431,2844
US-Canada Border,09/01/2017 12:00:00 AM,Rail Containers Full,141462,6150
US-Canada Border,09/01/2017 12:00:00 AM,Train Passengers,29330,1222
US-Canada Border,09/01/2017 12:00:00 AM,Trains,1904,79
US-Canada Border,09/01/2017 12:00:00 AM,Truck Containers Empty,132864,1795
US-Canada Border,09/01/2017 12:00:00 AM,Truck Containers Full,355731,4807
US-Canada Border,09/01/2017 12:00:00 AM,Trucks,478231,6210
US-Canada Border,08/01/2017 12:00:00 AM,Bus Passengers,242143,4941
US-Canada Border,08/01/2017 12:00:00 AM,Buses,10129,206
US-Canada Border,08/01/2017 12:00:00 AM,Pedestrians,72595,2199
US-Canada Border,08/01/2017 12:00:00 AM,Personal Vehicle Passengers,6250197,74407
US-Canada Border,08/01/2017 12:00:00 AM,Personal Vehicles,2969278,34932
US-Canada Border,08/01/2017 12:00:00 AM,Rail Containers Empty,67070,2916
US-Canada Border,08/01/2017 12:00:00 AM,Rail Containers Full,144179,6268
US-Canada Border,08/01/2017 12:00:00 AM,Train Passengers,46500,1937
US-Canada Border,08/01/2017 12:00:00 AM,Trains,1903,79
US-Canada Border,08/01/2017 12:00:00 AM,Truck Containers Empty,148344,1926
US-Canada Border,08/01/2017 12:00:00 AM,Truck Containers Full,378644,5116
US-Canada Border,08/01/2017 12:00:00 AM,Trucks,515625,6610
US-Canada Border,07/01/2017 12:00:00 AM,Bus Passengers,241711,5142
US-Canada Border,07/01/2017 12:00:00 AM,Buses,10274,218
US-Canada Border,07/01/2017 12:00:00 AM,Pedestrians,73810,1942
US-Canada Border,07/01/2017 12:00:00 AM,Personal Vehicle Passengers,6174114,73501
US-Canada Border,07/01/2017 12:00:00 AM,Personal Vehicles,2990171,36026
US-Canada Border,07/01/2017 12:00:00 AM,Rail Containers Empty,67724,2944
US-Canada Border,07/01/2017 12:00:00 AM,Rail Containers Full,135594,5895
US-Canada Border,07/01/2017 12:00:00 AM,Train Passengers,45282,1968
US-Canada Border,07/01/2017 12:00:00 AM,Trains,1859,77
US-Canada Border,07/01/2017 12:00:00 AM,Truck Containers Empty,126212,1728
US-Canada Border,07/01/2017 12:00:00 AM,Truck Containers Full,345253,4665
US-Canada Border,07/01/2017 12:00:00 AM,Trucks,461295,5990
US-Canada Border,06/01/2017 12:00:00 AM,Bus Passengers,211001,4137
US-Canada Border,06/01/2017 12:00:00 AM,Buses,10443,204
US-Canada Border,06/01/2017 12:00:00 AM,Pedestrians,51719,1397
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicle Passengers,4487700,53425
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicles,2472936,29439
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Empty,65420,2844
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Full,137611,5983
US-Canada Border,06/01/2017 12:00:00 AM,Train Passengers,40134,1605
US-Canada Border,06/01/2017 12:00:00 AM,Trains,1871,77
