Border,Date,Measure,Sum,Avg 
US-Canada Border,02/01/2010 12:00:00 AM,Personal Vehicle Passengers,3343790,38434
US-Canada Border,02/01/2010 12:00:00 AM,Personal Vehicles,1770823,20354
US-Canada Border,02/01/2010 12:00:00 AM,Rail Containers Empty,45674,524
US-Canada Border,02/01/2010 12:00:00 AM,Rail Containers Full,100101,1150
US-Canada Border,02/01/2010 12:00:00 AM,Train Passengers,13665,157
US-Canada Border,02/01/2010 12:00:00 AM,Trains,2003,23
US-Canada Border,02/01/2010 12:00:00 AM,Truck Containers Empty,88352,1015
US-Canada Border,02/01/2010 12:00:00 AM,Truck Containers Full,322016,3701
US-Canada Border,02/01/2010 12:00:00 AM,Trucks,417651,4800
US-Canada Border,01/01/2010 12:00:00 AM,Bus Passengers,139976,1608
US-Canada Border,01/01/2010 12:00:00 AM,Buses,7535,86
US-Canada Border,01/01/2010 12:00:00 AM,Pedestrians,13232,152
US-Canada Border,01/01/2010 12:00:00 AM,Personal Vehicle Passengers,3543813,40733
US-Canada Border,01/01/2010 12:00:00 AM,Personal Vehicles,1840071,21150
US-Canada Border,01/01/2010 12:00:00 AM,Rail Containers Empty,45029,517
US-Canada Border,01/01/2010 12:00:00 AM,Rail Containers Full,99731,1146
US-Canada Border,01/01/2010 12:00:00 AM,Train Passengers,12331,141
US-Canada Border,01/01/2010 12:00:00 AM,Trains,2106,24
US-Canada Border,01/01/2010 12:00:00 AM,Truck Containers Empty,89658,1030
US-Canada Border,01/01/2010 12:00:00 AM,Truck Containers Full,321136,3691
US-Canada Border,01/01/2010 12:00:00 AM,Trucks,415459,4775
US-Canada Border,12/01/2009 12:00:00 AM,Bus Passengers,158215,1839
US-Canada Border,12/01/2009 12:00:00 AM,Buses,7306,84
US-Canada Border,12/01/2009 12:00:00 AM,Pedestrians,16077,186
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,4133937,48069
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicles,2060769,23962
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Empty,39910,464
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Full,88214,1025
US-Canada Border,12/01/2009 12:00:00 AM,Train Passengers,14765,171
US-Canada Border,12/01/2009 12:00:00 AM,Trains,1965,22
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Empty,85845,998
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Full,315798,3672
US-Canada Border,12/01/2009 12:00:00 AM,Trucks,404280,4700
US-Canada Border,11/01/2009 12:00:00 AM,Bus Passengers,174109,2024
US-Canada Border,11/01/2009 12:00:00 AM,Buses,8184,95
US-Canada Border,11/01/2009 12:00:00 AM,Pedestrians,20435,237
US-Canada Border,11/01/2009 12:00:00 AM,Personal Vehicle Passengers,4076505,47401
US-Canada Border,11/01/2009 12:00:00 AM,Personal Vehicles,2079817,24183
US-Canada Border,11/01/2009 12:00:00 AM,Rail Containers Empty,47063,547
US-Canada Border,11/01/2009 12:00:00 AM,Rail Containers Full,90723,1054
US-Canada Border,11/01/2009 12:00:00 AM,Train Passengers,11565,134
US-Canada Border,11/01/2009 12:00:00 AM,Trains,1991,23
US-Canada Border,11/01/2009 12:00:00 AM,Truck Containers Empty,110496,1284
US-Canada Border,11/01/2009 12:00:00 AM,Truck Containers Full,326771,3799
US-Canada Border,11/01/2009 12:00:00 AM,Trucks,441097,5129
US-Canada Border,10/01/2009 12:00:00 AM,Bus Passengers,206523,2373
US-Canada Border,10/01/2009 12:00:00 AM,Buses,9069,104
US-Canada Border,10/01/2009 12:00:00 AM,Pedestrians,39492,453
US-Canada Border,10/01/2009 12:00:00 AM,Personal Vehicle Passengers,4454778,51204
US-Canada Border,10/01/2009 12:00:00 AM,Personal Vehicles,2275997,26160
US-Canada Border,10/01/2009 12:00:00 AM,Rail Containers Empty,46307,532
US-Canada Border,10/01/2009 12:00:00 AM,Rail Containers Full,94187,1082
US-Canada Border,10/01/2009 12:00:00 AM,Train Passengers,14070,161
US-Canada Border,10/01/2009 12:00:00 AM,Trains,2182,25
US-Canada Border,10/01/2009 12:00:00 AM,Truck Containers Empty,96201,1105
US-Canada Border,10/01/2009 12:00:00 AM,Truck Containers Full,357002,4103
US-Canada Border,10/01/2009 12:00:00 AM,Trucks,459183,5277
US-Canada Border,09/01/2009 12:00:00 AM,Bus Passengers,256397,2947
US-Canada Border,09/01/2009 12:00:00 AM,Buses,11291,129
US-Canada Border,09/01/2009 12:00:00 AM,Pedestrians,44736,514
US-Canada Border,09/01/2009 12:00:00 AM,Personal Vehicle Passengers,4787157,55024
US-Canada Border,09/01/2009 12:00:00 AM,Personal Vehicles,2428854,27917
US-Canada Border,09/01/2009 12:00:00 AM,Rail Containers Empty,46743,537
US-Canada Border,09/01/2009 12:00:00 AM,Rail Containers Full,86560,994
US-Canada Border,09/01/2009 12:00:00 AM,Train Passengers,24475,281
US-Canada Border,09/01/2009 12:00:00 AM,Trains,2031,23
US-Canada Border,09/01/2009 12:00:00 AM,Truck Containers Empty,94836,1090
US-Canada Border,09/01/2009 12:00:00 AM,Truck Containers Full,354394,4073
US-Canada Border,09/01/2009 12:00:00 AM,Trucks,455815,5239
US-Canada Border,08/01/2009 12:00:00 AM,Bus Passengers,286052,3287
US-Canada Border,08/01/2009 12:00:00 AM,Buses,12823,147
US-Canada Border,08/01/2009 12:00:00 AM,Pedestrians,50073,575
US-Canada Border,08/01/2009 12:00:00 AM,Personal Vehicle Passengers,6592286,75773
US-Canada Border,08/01/2009 12:00:00 AM,Personal Vehicles,3033095,34863
US-Canada Border,08/01/2009 12:00:00 AM,Rail Containers Empty,45902,527
US-Canada Border,08/01/2009 12:00:00 AM,Rail Containers Full,87359,1004
US-Canada Border,08/01/2009 12:00:00 AM,Train Passengers,35353,406
US-Canada Border,08/01/2009 12:00:00 AM,Trains,2064,23
US-Canada Border,08/01/2009 12:00:00 AM,Truck Containers Empty,93685,1076
US-Canada Border,08/01/2009 12:00:00 AM,Truck Containers Full,340909,3918
US-Canada Border,08/01/2009 12:00:00 AM,Trucks,435764,5008
US-Canada Border,07/01/2009 12:00:00 AM,Bus Passengers,269921,3102
US-Canada Border,07/01/2009 12:00:00 AM,Buses,12579,144
US-Canada Border,07/01/2009 12:00:00 AM,Pedestrians,51552,592
US-Canada Border,07/01/2009 12:00:00 AM,Personal Vehicle Passengers,6043538,69465
US-Canada Border,07/01/2009 12:00:00 AM,Personal Vehicles,2845561,32707
US-Canada Border,07/01/2009 12:00:00 AM,Rail Containers Empty,46197,531
US-Canada Border,07/01/2009 12:00:00 AM,Rail Containers Full,88827,1021
US-Canada Border,07/01/2009 12:00:00 AM,Train Passengers,32522,373
US-Canada Border,07/01/2009 12:00:00 AM,Trains,2025,23
US-Canada Border,07/01/2009 12:00:00 AM,Truck Containers Empty,87854,1009
US-Canada Border,07/01/2009 12:00:00 AM,Truck Containers Full,323181,3714
US-Canada Border,07/01/2009 12:00:00 AM,Trucks,412855,4745
US-Canada Border,06/01/2009 12:00:00 AM,Bus Passengers,229736,2640
US-Canada Border,06/01/2009 12:00:00 AM,Buses,11387,130
US-Canada Border,06/01/2009 12:00:00 AM,Pedestrians,38328,440
US-Canada Border,06/01/2009 12:00:00 AM,Personal Vehicle Passengers,4458610,51248
US-Canada Border,06/01/2009 12:00:00 AM,Personal Vehicles,2251202,25875
US-Canada Border,06/01/2009 12:00:00 AM,Rail Containers Empty,39392,452
US-Canada Border,06/01/2009 12:00:00 AM,Rail Containers Full,79469,913
US-Canada Border,06/01/2009 12:00:00 AM,Train Passengers,27878,320
US-Canada Border,06/01/2009 12:00:00 AM,Trains,2053,23
US-Canada Border,06/01/2009 12:00:00 AM,Truck Containers Empty,79713,916
US-Canada Border,06/01/2009 12:00:00 AM,Truck Containers Full,330793,3802
US-Canada Border,06/01/2009 12:00:00 AM,Trucks,418105,4805
US-Canada Border,05/01/2009 12:00:00 AM,Bus Passengers,277709,3192
US-Canada Border,05/01/2009 12:00:00 AM,Buses,11920,137
US-Canada Border,05/01/2009 12:00:00 AM,Pedestrians,37133,426
US-Canada Border,05/01/2009 12:00:00 AM,Personal Vehicle Passengers,4670174,53680
US-Canada Border,05/01/2009 12:00:00 AM,Personal Vehicles,2346355,26969
US-Canada Border,05/01/2009 12:00:00 AM,Rail Containers Empty,40331,463
US-Canada Border,05/01/2009 12:00:00 AM,Rail Containers Full,80160,921
US-Canada Border,05/01/2009 12:00:00 AM,Train Passengers,18241,209
US-Canada Border,05/01/2009 12:00:00 AM,Trains,1969,22
US-Canada Border,05/01/2009 12:00:00 AM,Truck Containers Empty,79869,918
US-Canada Border,05/01/2009 12:00:00 AM,Truck Containers Full,309367,3555
US-Canada Border,05/01/2009 12:00:00 AM,Trucks,396308,4555
US-Canada Border,04/01/2009 12:00:00 AM,Bus Passengers,203755,2369
US-Canada Border,04/01/2009 12:00:00 AM,Buses,9435,109
US-Canada Border,04/01/2009 12:00:00 AM,Pedestrians,29748,345
US-Canada Border,04/01/2009 12:00:00 AM,Personal Vehicle Passengers,3953392,45969
US-Canada Border,04/01/2009 12:00:00 AM,Personal Vehicles,2018362,23469
US-Canada Border,04/01/2009 12:00:00 AM,Rail Containers Empty,43057,500
US-Canada Border,04/01/2009 12:00:00 AM,Rail Containers Full,83565,971
US-Canada Border,04/01/2009 12:00:00 AM,Train Passengers,10600,123
US-Canada Border,04/01/2009 12:00:00 AM,Trains,1851,21
US-Canada Border,04/01/2009 12:00:00 AM,Truck Containers Empty,79971,929
US-Canada Border,04/01/2009 12:00:00 AM,Truck Containers Full,322032,3744
US-Canada Border,04/01/2009 12:00:00 AM,Trucks,404950,4708
US-Canada Border,03/01/2009 12:00:00 AM,Bus Passengers,150183,1746
US-Canada Border,03/01/2009 12:00:00 AM,Buses,7841,91
US-Canada Border,03/01/2009 12:00:00 AM,Pedestrians,22712,264
US-Canada Border,03/01/2009 12:00:00 AM,Personal Vehicle Passengers,3836164,44606
US-Canada Border,03/01/2009 12:00:00 AM,Personal Vehicles,1971344,22922
US-Canada Border,03/01/2009 12:00:00 AM,Rail Containers Empty,49204,572
US-Canada Border,03/01/2009 12:00:00 AM,Rail Containers Full,83360,969
US-Canada Border,03/01/2009 12:00:00 AM,Train Passengers,10137,117
US-Canada Border,03/01/2009 12:00:00 AM,Trains,2013,23
US-Canada Border,03/01/2009 12:00:00 AM,Truck Containers Empty,89544,1041
US-Canada Border,03/01/2009 12:00:00 AM,Truck Containers Full,314249,3654
US-Canada Border,03/01/2009 12:00:00 AM,Trucks,422741,4915
US-Canada Border,02/01/2009 12:00:00 AM,Bus Passengers,149370,1736
US-Canada Border,02/01/2009 12:00:00 AM,Buses,7018,81
US-Canada Border,02/01/2009 12:00:00 AM,Pedestrians,14992,174
US-Canada Border,02/01/2009 12:00:00 AM,Personal Vehicle Passengers,3212259,37351
US-Canada Border,02/01/2009 12:00:00 AM,Personal Vehicles,1676466,19493
US-Canada Border,02/01/2009 12:00:00 AM,Rail Containers Empty,44115,512
US-Canada Border,02/01/2009 12:00:00 AM,Rail Containers Full,77920,906
US-Canada Border,02/01/2009 12:00:00 AM,Train Passengers,8667,100
US-Canada Border,02/01/2009 12:00:00 AM,Trains,1931,22
US-Canada Border,02/01/2009 12:00:00 AM,Truck Containers Empty,80508,936
US-Canada Border,02/01/2009 12:00:00 AM,Truck Containers Full,296835,3451
US-Canada Border,02/01/2009 12:00:00 AM,Trucks,384478,4470
US-Canada Border,01/01/2009 12:00:00 AM,Bus Passengers,141447,1644
US-Canada Border,01/01/2009 12:00:00 AM,Buses,7502,87
US-Canada Border,01/01/2009 12:00:00 AM,Pedestrians,10938,127
US-Canada Border,01/01/2009 12:00:00 AM,Personal Vehicle Passengers,3309541,38483
US-Canada Border,01/01/2009 12:00:00 AM,Personal Vehicles,1719008,19988
US-Canada Border,01/01/2009 12:00:00 AM,Rail Containers Empty,42263,491
US-Canada Border,01/01/2009 12:00:00 AM,Rail Containers Full,82588,960
US-Canada Border,01/01/2009 12:00:00 AM,Train Passengers,9560,111
US-Canada Border,01/01/2009 12:00:00 AM,Trains,1959,22
US-Canada Border,01/01/2009 12:00:00 AM,Truck Containers Empty,78616,914
US-Canada Border,01/01/2009 12:00:00 AM,Truck Containers Full,305973,3557
US-Canada Border,01/01/2009 12:00:00 AM,Trucks,385057,4477
US-Canada Border,12/01/2008 12:00:00 AM,Bus Passengers,162597,1890
US-Canada Border,12/01/2008 12:00:00 AM,Buses,7497,87
US-Canada Border,12/01/2008 12:00:00 AM,Pedestrians,17334,201
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,3521642,40949
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicles,1833417,21318
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Empty,37471,435
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Full,81987,953
US-Canada Border,12/01/2008 12:00:00 AM,Train Passengers,7983,92
US-Canada Border,12/01/2008 12:00:00 AM,Trains,1835,21
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Empty,66728,775
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Full,287911,3347
US-Canada Border,12/01/2008 12:00:00 AM,Trucks,382977,4453
US-Canada Border,11/01/2008 12:00:00 AM,Bus Passengers,230813,2683
US-Canada Border,11/01/2008 12:00:00 AM,Buses,8631,100
US-Canada Border,11/01/2008 12:00:00 AM,Pedestrians,23214,269
US-Canada Border,11/01/2008 12:00:00 AM,Personal Vehicle Passengers,3923765,45625
US-Canada Border,11/01/2008 12:00:00 AM,Personal Vehicles,2011884,23394
US-Canada Border,11/01/2008 12:00:00 AM,Rail Containers Empty,49038,570
US-Canada Border,11/01/2008 12:00:00 AM,Rail Containers Full,104462,1214
US-Canada Border,11/01/2008 12:00:00 AM,Train Passengers,10358,120
US-Canada Border,11/01/2008 12:00:00 AM,Trains,2409,28
US-Canada Border,11/01/2008 12:00:00 AM,Truck Containers Empty,73113,850
US-Canada Border,11/01/2008 12:00:00 AM,Truck Containers Full,331339,3852
US-Canada Border,11/01/2008 12:00:00 AM,Trucks,436177,5071
US-Canada Border,10/01/2008 12:00:00 AM,Bus Passengers,302407,3475
US-Canada Border,10/01/2008 12:00:00 AM,Buses,10426,119
US-Canada Border,10/01/2008 12:00:00 AM,Pedestrians,52664,605
US-Canada Border,10/01/2008 12:00:00 AM,Personal Vehicle Passengers,4575735,52594
US-Canada Border,10/01/2008 12:00:00 AM,Personal Vehicles,2347854,26986
US-Canada Border,10/01/2008 12:00:00 AM,Rail Containers Empty,54761,629
US-Canada Border,10/01/2008 12:00:00 AM,Rail Containers Full,112899,1297
US-Canada Border,10/01/2008 12:00:00 AM,Train Passengers,12985,149
US-Canada Border,10/01/2008 12:00:00 AM,Trains,2591,29
US-Canada Border,10/01/2008 12:00:00 AM,Truck Containers Empty,96985,1114
US-Canada Border,10/01/2008 12:00:00 AM,Truck Containers Full,396401,4556
US-Canada Border,10/01/2008 12:00:00 AM,Trucks,503870,5791
US-Canada Border,09/01/2008 12:00:00 AM,Bus Passengers,307375,3533
US-Canada Border,09/01/2008 12:00:00 AM,Buses,11909,136
US-Canada Border,09/01/2008 12:00:00 AM,Pedestrians,35038,402
US-Canada Border,09/01/2008 12:00:00 AM,Personal Vehicle Passengers,4781150,54955
US-Canada Border,09/01/2008 12:00:00 AM,Personal Vehicles,2442637,28076
US-Canada Border,09/01/2008 12:00:00 AM,Rail Containers Empty,50700,582
US-Canada Border,09/01/2008 12:00:00 AM,Rail Containers Full,107759,1238
US-Canada Border,09/01/2008 12:00:00 AM,Train Passengers,23898,274
US-Canada Border,09/01/2008 12:00:00 AM,Trains,2405,27
US-Canada Border,09/01/2008 12:00:00 AM,Truck Containers Empty,95117,1093
US-Canada Border,09/01/2008 12:00:00 AM,Truck Containers Full,414858,4768
US-Canada Border,09/01/2008 12:00:00 AM,Trucks,511697,5881
US-Canada Border,08/01/2008 12:00:00 AM,Bus Passengers,365139,4197
US-Canada Border,08/01/2008 12:00:00 AM,Buses,13910,159
US-Canada Border,08/01/2008 12:00:00 AM,Pedestrians,89240,1025
US-Canada Border,08/01/2008 12:00:00 AM,Personal Vehicle Passengers,7224613,83041
US-Canada Border,08/01/2008 12:00:00 AM,Personal Vehicles,3330187,38278
US-Canada Border,08/01/2008 12:00:00 AM,Rail Containers Empty,47296,543
US-Canada Border,08/01/2008 12:00:00 AM,Rail Containers Full,110143,1266
US-Canada Border,08/01/2008 12:00:00 AM,Train Passengers,38804,446
US-Canada Border,08/01/2008 12:00:00 AM,Trains,2641,30
US-Canada Border,08/01/2008 12:00:00 AM,Truck Containers Empty,93785,1077
US-Canada Border,08/01/2008 12:00:00 AM,Truck Containers Full,385486,4430
US-Canada Border,08/01/2008 12:00:00 AM,Trucks,486457,5591
US-Canada Border,07/01/2008 12:00:00 AM,Bus Passengers,363110,4173
US-Canada Border,07/01/2008 12:00:00 AM,Buses,13814,158
US-Canada Border,07/01/2008 12:00:00 AM,Pedestrians,81425,935
US-Canada Border,07/01/2008 12:00:00 AM,Personal Vehicle Passengers,6651473,76453
US-Canada Border,07/01/2008 12:00:00 AM,Personal Vehicles,3117543,35833
US-Canada Border,07/01/2008 12:00:00 AM,Rail Containers Empty,49596,570
US-Canada Border,07/01/2008 12:00:00 AM,Rail Containers Full,111238,1278
US-Canada Border,07/01/2008 12:00:00 AM,Train Passengers,40106,460
US-Canada Border,07/01/2008 12:00:00 AM,Trains,2618,30
US-Canada Border,07/01/2008 12:00:00 AM,Truck Containers Empty,95306,1095
US-Canada Border,07/01/2008 12:00:00 AM,Truck Containers Full,392079,4506
US-Canada Border,07/01/2008 12:00:00 AM,Trucks,493902,5677
US-Canada Border,06/01/2008 12:00:00 AM,Bus Passengers,346933,3987
US-Canada Border,06/01/2008 12:00:00 AM,Buses,13811,158
US-Canada Border,06/01/2008 12:00:00 AM,Pedestrians,55667,639
US-Canada Border,06/01/2008 12:00:00 AM,Personal Vehicle Passengers,5228224,60094
US-Canada Border,06/01/2008 12:00:00 AM,Personal Vehicles,2670146,30691
US-Canada Border,06/01/2008 12:00:00 AM,Rail Containers Empty,47578,546
US-Canada Border,06/01/2008 12:00:00 AM,Rail Containers Full,104171,1197
US-Canada Border,06/01/2008 12:00:00 AM,Train Passengers,34564,397
US-Canada Border,06/01/2008 12:00:00 AM,Trains,2556,29
US-Canada Border,06/01/2008 12:00:00 AM,Truck Containers Empty,94830,1090
US-Canada Border,06/01/2008 12:00:00 AM,Truck Containers Full,420439,4832
US-Canada Border,06/01/2008 12:00:00 AM,Trucks,518059,5954
US-Canada Border,05/01/2008 12:00:00 AM,Bus Passengers,355655,4087
US-Canada Border,05/01/2008 12:00:00 AM,Buses,12775,146
US-Canada Border,05/01/2008 12:00:00 AM,Pedestrians,47220,542
US-Canada Border,05/01/2008 12:00:00 AM,Personal Vehicle Passengers,5216129,59955
US-Canada Border,05/01/2008 12:00:00 AM,Personal Vehicles,2560128,29426
US-Canada Border,05/01/2008 12:00:00 AM,Rail Containers Empty,53272,612
US-Canada Border,05/01/2008 12:00:00 AM,Rail Containers Full,117068,1345
US-Canada Border,05/01/2008 12:00:00 AM,Train Passengers,22373,257
US-Canada Border,05/01/2008 12:00:00 AM,Trains,2702,31
US-Canada Border,05/01/2008 12:00:00 AM,Truck Containers Empty,94066,1081
US-Canada Border,05/01/2008 12:00:00 AM,Truck Containers Full,415365,4774
US-Canada Border,05/01/2008 12:00:00 AM,Trucks,516173,5933
US-Canada Border,04/01/2008 12:00:00 AM,Bus Passengers,263155,3059
US-Canada Border,04/01/2008 12:00:00 AM,Buses,9542,110
US-Canada Border,04/01/2008 12:00:00 AM,Pedestrians,33454,389
US-Canada Border,04/01/2008 12:00:00 AM,Personal Vehicle Passengers,4239459,49296
US-Canada Border,04/01/2008 12:00:00 AM,Personal Vehicles,2208486,25680
US-Canada Border,04/01/2008 12:00:00 AM,Rail Containers Empty,55307,643
US-Canada Border,04/01/2008 12:00:00 AM,Rail Containers Full,122825,1428
US-Canada Border,04/01/2008 12:00:00 AM,Train Passengers,12710,147
US-Canada Border,04/01/2008 12:00:00 AM,Trains,2689,31
US-Canada Border,04/01/2008 12:00:00 AM,Truck Containers Empty,94474,1098
US-Canada Border,04/01/2008 12:00:00 AM,Truck Containers Full,425896,4952
US-Canada Border,04/01/2008 12:00:00 AM,Trucks,530006,6162
US-Canada Border,03/01/2008 12:00:00 AM,Bus Passengers,244614,2844
US-Canada Border,03/01/2008 12:00:00 AM,Buses,8946,104
US-Canada Border,03/01/2008 12:00:00 AM,Pedestrians,23532,273
US-Canada Border,03/01/2008 12:00:00 AM,Personal Vehicle Passengers,4602875,53521
US-Canada Border,03/01/2008 12:00:00 AM,Personal Vehicles,2243980,26092
US-Canada Border,03/01/2008 12:00:00 AM,Rail Containers Empty,48494,563
US-Canada Border,03/01/2008 12:00:00 AM,Rail Containers Full,119579,1390
US-Canada Border,03/01/2008 12:00:00 AM,Train Passengers,12583,146
US-Canada Border,03/01/2008 12:00:00 AM,Trains,2597,30
US-Canada Border,03/01/2008 12:00:00 AM,Truck Containers Empty,93350,1085
US-Canada Border,03/01/2008 12:00:00 AM,Truck Containers Full,412177,4792
US-Canada Border,03/01/2008 12:00:00 AM,Trucks,507685,5903
US-Canada Border,02/01/2008 12:00:00 AM,Bus Passengers,236574,2750
US-Canada Border,02/01/2008 12:00:00 AM,Buses,8013,93
US-Canada Border,02/01/2008 12:00:00 AM,Pedestrians,18038,209
US-Canada Border,02/01/2008 12:00:00 AM,Personal Vehicle Passengers,3604838,41916
US-Canada Border,02/01/2008 12:00:00 AM,Personal Vehicles,1920308,22329
US-Canada Border,02/01/2008 12:00:00 AM,Rail Containers Empty,43865,510
US-Canada Border,02/01/2008 12:00:00 AM,Rail Containers Full,109312,1271
US-Canada Border,02/01/2008 12:00:00 AM,Train Passengers,10630,123
US-Canada Border,02/01/2008 12:00:00 AM,Trains,2285,26
US-Canada Border,02/01/2008 12:00:00 AM,Truck Containers Empty,93242,1084
US-Canada Border,02/01/2008 12:00:00 AM,Truck Containers Full,399168,4641
US-Canada Border,02/01/2008 12:00:00 AM,Trucks,494703,5752
US-Canada Border,01/01/2008 12:00:00 AM,Bus Passengers,225933,2627
US-Canada Border,01/01/2008 12:00:00 AM,Buses,7959,92
US-Canada Border,01/01/2008 12:00:00 AM,Pedestrians,18055,209
US-Canada Border,01/01/2008 12:00:00 AM,Personal Vehicle Passengers,3853976,44813
US-Canada Border,01/01/2008 12:00:00 AM,Personal Vehicles,2000216,23258
US-Canada Border,01/01/2008 12:00:00 AM,Rail Containers Empty,48289,561
US-Canada Border,01/01/2008 12:00:00 AM,Rail Containers Full,111471,1296
US-Canada Border,01/01/2008 12:00:00 AM,Train Passengers,11599,134
US-Canada Border,01/01/2008 12:00:00 AM,Trains,2452,28
US-Canada Border,01/01/2008 12:00:00 AM,Truck Containers Empty,93335,1085
US-Canada Border,01/01/2008 12:00:00 AM,Truck Containers Full,416764,4846
US-Canada Border,01/01/2008 12:00:00 AM,Trucks,512845,5963
US-Canada Border,12/01/2007 12:00:00 AM,Bus Passengers,254758,2962
US-Canada Border,12/01/2007 12:00:00 AM,Buses,8656,100
US-Canada Border,12/01/2007 12:00:00 AM,Pedestrians,19993,232
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,4385658,50996
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicles,2175942,25301
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Empty,45117,524
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Full,109266,1270
US-Canada Border,12/01/2007 12:00:00 AM,Train Passengers,13765,160
US-Canada Border,12/01/2007 12:00:00 AM,Trains,2430,28
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Empty,80337,934
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Full,351277,4084
US-Canada Border,12/01/2007 12:00:00 AM,Trucks,434458,5051
US-Canada Border,11/01/2007 12:00:00 AM,Bus Passengers,263206,3060
US-Canada Border,11/01/2007 12:00:00 AM,Buses,10450,121
US-Canada Border,11/01/2007 12:00:00 AM,Pedestrians,10188,118
US-Canada Border,11/01/2007 12:00:00 AM,Personal Vehicle Passengers,4811091,55942
US-Canada Border,11/01/2007 12:00:00 AM,Personal Vehicles,2412399,28051
US-Canada Border,11/01/2007 12:00:00 AM,Rail Containers Empty,52079,605
US-Canada Border,11/01/2007 12:00:00 AM,Rail Containers Full,123014,1430
US-Canada Border,11/01/2007 12:00:00 AM,Train Passengers,11823,137
US-Canada Border,11/01/2007 12:00:00 AM,Trains,2650,30
US-Canada Border,11/01/2007 12:00:00 AM,Truck Containers Empty,95740,1113
US-Canada Border,11/01/2007 12:00:00 AM,Truck Containers Full,432003,5023
US-Canada Border,11/01/2007 12:00:00 AM,Trucks,527722,6136
US-Canada Border,10/01/2007 12:00:00 AM,Bus Passengers,344879,3964
US-Canada Border,10/01/2007 12:00:00 AM,Buses,11469,131
US-Canada Border,10/01/2007 12:00:00 AM,Pedestrians,25778,296
US-Canada Border,10/01/2007 12:00:00 AM,Personal Vehicle Passengers,5203099,59805
US-Canada Border,10/01/2007 12:00:00 AM,Personal Vehicles,2614080,30046
US-Canada Border,10/01/2007 12:00:00 AM,Rail Containers Empty,53937,619
US-Canada Border,10/01/2007 12:00:00 AM,Rail Containers Full,125692,1444
US-Canada Border,10/01/2007 12:00:00 AM,Train Passengers,13875,159
US-Canada Border,10/01/2007 12:00:00 AM,Trains,2750,31
US-Canada Border,10/01/2007 12:00:00 AM,Truck Containers Empty,93755,1077
US-Canada Border,10/01/2007 12:00:00 AM,Truck Containers Full,486590,5592
US-Canada Border,10/01/2007 12:00:00 AM,Trucks,582390,6694
US-Canada Border,09/01/2007 12:00:00 AM,Bus Passengers,354549,4075
US-Canada Border,09/01/2007 12:00:00 AM,Buses,13033,149
US-Canada Border,09/01/2007 12:00:00 AM,Pedestrians,55005,632
US-Canada Border,09/01/2007 12:00:00 AM,Personal Vehicle Passengers,5133356,59004
US-Canada Border,09/01/2007 12:00:00 AM,Personal Vehicles,2630684,30237
US-Canada Border,09/01/2007 12:00:00 AM,Rail Containers Empty,46717,536
US-Canada Border,09/01/2007 12:00:00 AM,Rail Containers Full,121028,1391
US-Canada Border,09/01/2007 12:00:00 AM,Train Passengers,23320,268
US-Canada Border,09/01/2007 12:00:00 AM,Trains,2460,28
US-Canada Border,09/01/2007 12:00:00 AM,Truck Containers Empty,82665,950
US-Canada Border,09/01/2007 12:00:00 AM,Truck Containers Full,445275,5118
US-Canada Border,09/01/2007 12:00:00 AM,Trucks,531706,6111
US-Canada Border,08/01/2007 12:00:00 AM,Bus Passengers,404137,4645
US-Canada Border,08/01/2007 12:00:00 AM,Buses,15151,174
US-Canada Border,08/01/2007 12:00:00 AM,Pedestrians,101226,1163
US-Canada Border,08/01/2007 12:00:00 AM,Personal Vehicle Passengers,6644476,76373
US-Canada Border,08/01/2007 12:00:00 AM,Personal Vehicles,3280417,37705
US-Canada Border,08/01/2007 12:00:00 AM,Rail Containers Empty,46296,532
US-Canada Border,08/01/2007 12:00:00 AM,Rail Containers Full,116050,1333
US-Canada Border,08/01/2007 12:00:00 AM,Train Passengers,35206,404
US-Canada Border,08/01/2007 12:00:00 AM,Trains,2553,29
US-Canada Border,08/01/2007 12:00:00 AM,Truck Containers Empty,88062,1012
US-Canada Border,08/01/2007 12:00:00 AM,Truck Containers Full,467924,5378
US-Canada Border,08/01/2007 12:00:00 AM,Trucks,555071,6380
US-Canada Border,07/01/2007 12:00:00 AM,Bus Passengers,390318,4486
US-Canada Border,07/01/2007 12:00:00 AM,Buses,14796,170
